ID,제목,내용(200자),전체내용
1,"충북도 5843억 투입, 일자리 10만8800개 창출","충북도가 5843억원을 투입해 지역일자리 10만8000개 창출과 고용률 72% 달성을 목표로 하는 '2021년 일자리대책 연차별 세부계획'을 수립ㆍ발표했다.  이번 계획은 고용정책기본법에 근거해 지방자치단체장이 지역일자리 목표와 대책을 공표하고 지역의 책임성ㆍ자율성을 높여 양질의 일자리를 창출하기 위해 추진하는 것으로, 전국 지자체를 대상으로 계획 진행의 ","충북도가 5843억원을 투입해 지역일자리 10만8000개 창출과 고용률 72% 달성을 목표로 하는 '2021년 일자리대책 연차별 세부계획'을 수립ㆍ발표했다.  이번 계획은 고용정책기본법에 근거해 지방자치단체장이 지역일자리 목표와 대책을 공표하고 지역의 책임성ㆍ자율성을 높여 양질의 일자리를 창출하기 위해 추진하는 것으로, 전국 지자체를 대상으로 계획 진행의 충실도와 효과성을 평가하는 일자리대상의 기준이 된다.  도는 올해 주요 이행과제로는 △산업기반 일자리 확대ㆍ고도화 △인적자원 유형별 맞춤형 일자리 창출 △사회 융합형 좋은 일터 만들기 △충북형 일자리 재구조화 등 4대 분야 11개 추진전략 마련했으며, 모두 5843억원을 투입한다.  주요 세부전략으로는 차세대 방사광가속기 구축, 에너지 신산업 기술개발 영역 확대, 글로벌 바이오 클러스터 조성 등 미래 첨단기술 기반 새로운 일자리를 확대하고, 충북형 뉴딜사업 관련 기업 집중 유치ㆍ맞춤형 기업지원 등 산업기반 일자리 확대ㆍ고도화로 지속가능한 양질의 일자리를 창출해 나갈 계획이다.  또한 청년ㆍ여성ㆍ중년ㆍ노인 등 인적자원 유형별 맞춤형 일자리를 제공한다. 청년층의 안정적인 일자리 창출을 위해 투자유치기업 청년일자리 지원, 바이오인재 지역안착 프로젝트, 청년 창업 아이템 경진대회, 충북 행복결혼 공제사업 등을 확대한다.  여성의 역량 개발ㆍ경력잇기 등 여성친화 일자리 조성을 위해 청년여성 일자리 종합플랫폼 '청춘잡담', 충북여성인력개발센터를 운영하고, 여성이 마음 편히 사회에 진출할 수 있도록 하는 아이돌봄 서비스를 제공한다  지속가능한 중장년 일자리 지원을 위해 정부 시범사업으로 '자치단체 협업형' 중장년일자리센터를 운영해 중장년 경력개발, 생애설계ㆍ전직 등을 지원하고, 노인들의 적극적인 사회참여 유도와 일자리 창출을 위한 시니어 주도형 노인 공공일자리 지원도 확대할 방침이다. 　  충북도는 지난해 전국 243개 지자체가 참여한 일자리 대상 평가에서 2년 연속 일자리대상(2019년 종합대상, 2020년 최우수상)을 수상한 바 있다."
2,공직유관단체장·기초의원 175명 재산 공개,충남도 공직자윤리위원회는 도내 각 시ㆍ군의회 의원과 서산의료원장 등 도 관할 대상자 175명의 재산 변동 신고 내역을 25일자 도보를 통해 공개했다.  재산 변동 사항 신고 대상자는 공직자윤리법에 따라 매년 1월 1일부터 또는 최초 등록 의무가 발생한 날부터 같은 해 12월 31일까지의 재산 변동 사항을 이듬해 2월 말까지 신고해야 한다.  도 공직자윤리위,"충남도 공직자윤리위원회는 도내 각 시ㆍ군의회 의원과 서산의료원장 등 도 관할 대상자 175명의 재산 변동 신고 내역을 25일자 도보를 통해 공개했다.  재산 변동 사항 신고 대상자는 공직자윤리법에 따라 매년 1월 1일부터 또는 최초 등록 의무가 발생한 날부터 같은 해 12월 31일까지의 재산 변동 사항을 이듬해 2월 말까지 신고해야 한다.  도 공직자윤리위원회 관할 대상자는 2020년 12월 31일 현재 재직 중인 공직유관단체장 5명과 시ㆍ군의원 170명으로, 공개 내역에는 공직자 본인과 배우자, 본인 직계 존ㆍ비속의 재산 변동 사항 등이 포함돼 있다.  도 공직자윤리위원회 관할 대상자의 재산가액을 보면, 30억원 이상이 7명(4.0%)으로 나타났고, 재산보다 채무가 많은 신고자는 6명(3.4%)으로 집계됐다.  또 평균 재산은 7억 5824만원이며, 1억원 이상 5억원 미만 신고자는 75명(42.9%)으로 나타났다.  재산이 증가한 신고자는 111명(63.4%)으로 집계됐고, 64명(36.6%)은 재산이 줄었다.  도 공직자윤리위원회는 이번 신고 내용에 대해 6월 말까지 심사하고 심사 결과 불성실 신고 사실이 발견될 경우, 경중에 따라 보완 명령, 경고, 과태료 부과, 해임 요구 등의 조치를 취할 방침이다.  도 공직자윤리위원회 관계자는 ""재산 변동 사항 신고 대상자 가운데 공직을 이용한 부정한 재산 증식 의혹이 있는 공직자가 발생하면 관계기관에 조사를 의뢰할 예정""이라고 말했다.  이어 ""도민의 신뢰를 받을 수 있도록 앞으로 재산 등록 및 심사를 더욱 강화해 공직윤리를 바로 세울 것""이라고 말했다.  도내 총액 상위는 맹의석 아산시의원으로 61억900여만 원이며. 총액최하위는 박응수 예산군의원으로 4억4700여만 원이다.  한편 도지사를 포함한 지방자치단체장과 정부 부처 장ㆍ차관 등 고위 공무원의 재산 변동 사항은 정부공직자윤리위원회가 관보를 통해 같은 날 공개했다."
3,"솔밭중, 온라인 학교설명회",충북 청주 솔밭중은 25일 온라인 학교설명회와 학부모 총회를 열었다.  2021학년도 학사 운영 전반을 안내하기 위해 마련된 이날 행사는 코로나19 방역수칙을 준수하면서도 학부모들이 시간과 장소의 부담 없이 참여할 수 있도록 퇴근 이후 시간인 오후 7시부터 유튜브를 활용한 비대면 온라인 방식으로 개최했다.  비대면 방식이지만 정우정 교장의 인사를 시작으로 ,"충북 청주 솔밭중은 25일 온라인 학교설명회와 학부모 총회를 열었다.  2021학년도 학사 운영 전반을 안내하기 위해 마련된 이날 행사는 코로나19 방역수칙을 준수하면서도 학부모들이 시간과 장소의 부담 없이 참여할 수 있도록 퇴근 이후 시간인 오후 7시부터 유튜브를 활용한 비대면 온라인 방식으로 개최했다.  비대면 방식이지만 정우정 교장의 인사를 시작으로 실시간쌍방향 원격수업 운영 및 출결처리 방법, 학생평가규정, 자유학기제, 그리고 고등학교 입시 등을 설명하는 등 학부모들이 궁금해하는 학교 운영 주요 사항에 대해 안내했다.  올해 초 학부모회 조례가 제정으로 학부모회 임원을 민주적 절차에 따라 선출하게 됨에 따라 솔밭중은 지난해 학부모회 임원들을 중심으로 준비위원회와 선출관리위원회를 구성한 뒤 학교 홈페이지에 선출 공고를 시작으로 입후보자들의 등록을 받으며 본격적인 임원선출을 했다.  입후보 등록 결과 입후보자수가 임원 정수와 같아 선출관리위원회에서는 학부모회 규정에 따라 당선을 결정했고 학교설명회 이후 2021학년도 학부모회 임원 6명에게 당선증 수여와 학부모 자치활동 활성화와 학교교육 발전에 기여하겠다는 신임 회장의 당선 인사말이 이어졌다."
4,"옥천소방서, 영농철 농기계 사고 구조 훈련 실시",충북 옥천소방서는 25일 옥천군 농업기술센터를 방문해 농기계 사고를 대비한 구조대원 특별구조 훈련을 진행했다.  이날 훈련은 본격적인 영농철을 맞아 농촌에서 자주 발생하는 농기계 사고를 대비해 농기계의 구조 원리를 이해하고 전문적인 조작과 인명 구조기법을 익혀 사고 발생 시 신속하고 효율적인 대응체계 구축을 위해 마련했다.  중점 훈련내용으로는 농기계 제원,"충북 옥천소방서는 25일 옥천군 농업기술센터를 방문해 농기계 사고를 대비한 구조대원 특별구조 훈련을 진행했다.  이날 훈련은 본격적인 영농철을 맞아 농촌에서 자주 발생하는 농기계 사고를 대비해 농기계의 구조 원리를 이해하고 전문적인 조작과 인명 구조기법을 익혀 사고 발생 시 신속하고 효율적인 대응체계 구축을 위해 마련했다.  중점 훈련내용으로는 농기계 제원과 구성 원리 이해, 농기계 운영상 주의사항 숙지, 농기계 사고 사례와 유형별 대응 훈련, 농기계 비상대처 요령 등 다양한 상황을 설정해 해결 능력을 배양하는 것에 중점을 뒀다.  농기계는 별도의 안전장치가 없어 사고 시 심각한 부상으로 이어지며, 논ㆍ밭 등 비탈길 운행이 많아 안전사고 예방에 각별한 주의가 필요하다.  특히 음주 후 농기계 운행을 절대 금지해야 하며 야간운행을 대비한 후부 반사판을 부착하고 부득이 도로 주행 때 중앙선 기준 가장 우측을 이용하여 서행해야 한다."
5,"순천향대학교 김승우 총장,스테이 스트롱(Stay Strong) 캠페인 동참",순천향대학교 김승우 총장은 25일 코로나19 극복과 조기 종식을 응원하기 위해 대한민국 외교부가 진행하고 있는 릴레이 캠페인 스테이 스트롱(Stay Strong)에 동참했다.  이응기 충남테크노파크 원장의 지목을 받아 참여한 김 총장은 '코로나19 극복! 순천향이 함께 합니다'라는 응원 문구가 적힌 피켓을 들고 참여했다.  스테이 스트롱 캠페인은 코로나19,"순천향대학교 김승우 총장은 25일 코로나19 극복과 조기 종식을 응원하기 위해 대한민국 외교부가 진행하고 있는 릴레이 캠페인 스테이 스트롱(Stay Strong)에 동참했다.  이응기 충남테크노파크 원장의 지목을 받아 참여한 김 총장은 '코로나19 극복! 순천향이 함께 합니다'라는 응원 문구가 적힌 피켓을 들고 참여했다.  스테이 스트롱 캠페인은 코로나19 극복을 위한 연대의 메시지를 전 세계로 확산시키기 위해 외교부에서 시작한 캠페인이다. 기도하는 두 손에 비누 거품이 더해진 그림과 응원 문구를 통해 철저한 위생관리로 코로나19를 이겨내자는 의미를 담고 있으며, 응원 사진을 SNS에 게시하고 다음 참여자를 지목하는 릴레이 방식으로 진행된다.  김 총장은 ""해가 바뀐 후에도 코로나19 감염병의 장기화로 전 세계가 어려움을 겪고 있고 대학도 전례 없는 위기를 극복하기 위해 많은 노력을 기울이고 있는 만큼 하루빨리 일상으로 돌아갈 수 있길 바란다""며 ""순천향대는 뉴노멀 블렌디드 교육 시스템을 구축하는 등 교육 혁신에 앞장서며 앞으로도 위드(With) 코로나 시대에 선제적으로 대응해나갈 것""이라고 말했다.  김 총장은 다음 참여자로 순천향대학교 부속 천안병원 이문수 원장과 부속 부천병원 신응진 원장을 지목했다."
6,"한서대, 청운대와 '교양교육 공유' 업무협약",충남 한서대학교와 청운대학교가 교양 교육 공유를 위한 업무협약협정을 3월 25일 한서대 본관 국제회의실에서 체결했다.  이날 대학에 따르면 코로나19로 인한 뉴 노멀(New Normal) 환경에서 교육의 효율성을 높이기 위해 한서대학교 함정현 교양교육원장과 청운대학교 구은자 교양대학장은 양 기관의 각종 교육자원을 상호지원하기로 한 협약서에 서명했다.  이 ,"충남 한서대학교와 청운대학교가 교양 교육 공유를 위한 업무협약협정을 3월 25일 한서대 본관 국제회의실에서 체결했다.  이날 대학에 따르면 코로나19로 인한 뉴 노멀(New Normal) 환경에서 교육의 효율성을 높이기 위해 한서대학교 함정현 교양교육원장과 청운대학교 구은자 교양대학장은 양 기관의 각종 교육자원을 상호지원하기로 한 협약서에 서명했다.  이 협약에 따라 양 기관은 교양교과목 및 교육과정 등을 공동으로 개발ㆍ운영하는 한편 양 기관이 필요로 하는 교육자원을 상호지원하기로 했다.  또 공동 발전을 위한 상호 관심 사항에 대해 지속적인 협력관계를 유지하기로 했다.  한서대학교 함정현 교양교육원장은 ""대내외의 변화에 민감하게 대처하기 위해 함께 협력하여 새로운 표준을 만들어나갈 것.""이라고 말했다.  이 협약식에는 한서대학교 임명재 교육혁신원장, 배정환 커리큘럼인증센터장을 비롯한 교수 8명, 청운대학교에서는 이소영 창의인성교육센터장, 신혜성 교육혁신센터장과 관계자 3명 등 모두 6명이 참석했다."
7,"정세균 44억원, 박지원 18억원, 홍남기 14억원 신고","정세균 국무총리는 경북 포항시 북구 장성동 임야 26억원, 마포구 상수동의 아파트 등 건물 10억5300만원, 예금 9억 9100만원 등 전년도보다 5억 6000만원 줄어든 44억 9300여만원의 재산을 신고했다.  이남우 국가보훈처장은 10억 5200만원, 황서종 인사혁신처장은 15억 6500만원, 이강섭 법제처장은 강남구 개포동 주공아파트와 상가 근린시","정세균 국무총리는 경북 포항시 북구 장성동 임야 26억원, 마포구 상수동의 아파트 등 건물 10억5300만원, 예금 9억 9100만원 등 전년도보다 5억 6000만원 줄어든 44억 9300여만원의 재산을 신고했다.  이남우 국가보훈처장은 10억 5200만원, 황서종 인사혁신처장은 15억 6500만원, 이강섭 법제처장은 강남구 개포동 주공아파트와 상가 근린시설 등 건물55억 9800만원, 예금 43억원, 증권 27억5800만원 116억 9400만원을 신고했다.  조성욱 공정거래위원장은 송파구 문정동 상가와아파트 근린생활시설 등 건물 12억 6000만원과 예금 17억 3600만원 등 30억원을, 은성수 금융위원장은 세종시 아파트와 서울 옥수동과 잠원등 아파트 근린생활시설 등 건물 20억원과 예금 15억 5600만원 등 39억 2200만원을 각각 신고했다.  또 윤석현 금융감독원장은 건물 4억4600만원, 예금 28억여원 등 32억 8600만원을 신고했다.  홍남기 부총리 겸 기획재정부 장관은 토지 7400만원, 아파트 9덕 7000만원, 예금 5억 7000만원 등 14억 7000만원으로 총재산을 신고했다.  유은혜 부총리겸 교육부 장관은 건물 2억원과 예금 1억 1000만원 등 부채를 제외하면 1억 6500여만원의 총재산 신고를 했다.  이밖에 박지원 국정원장은 2억 4680만원 증가한 18억여원을, 최재형 감사원장은 경기도 가평군 상명 소재 토지 1억 1100만원, 양천구 목동 아파트 8억원, 예금 7억여원 등 18억 7200만원으로 신고했다.  "
8,"제천시, 장락동 A식자재마트 '현장점검'","충북 제천시 장락동 일원에 대형 식자재마트 입점으로 중소ㆍ영세상인들의 반발과 골목상권 침해라는 지적을 받자 시가 현장 점검에 나섰다.  시는 25일 관계부서와 합동으로 A식자재마트를 찾아 방역수칙 이행여부, 농축산물 위생관리, 원산지 표시여부, 식품위생법 준수여부, 건축물 위법사항 등에 대해 현장점검을 벌였다.  점검 결과 시는 건축법을 위반한 컨테이너 4","충북 제천시 장락동 일원에 대형 식자재마트 입점으로 중소ㆍ영세상인들의 반발과 골목상권 침해라는 지적을 받자 시가 현장 점검에 나섰다.  시는 25일 관계부서와 합동으로 A식자재마트를 찾아 방역수칙 이행여부, 농축산물 위생관리, 원산지 표시여부, 식품위생법 준수여부, 건축물 위법사항 등에 대해 현장점검을 벌였다.  점검 결과 시는 건축법을 위반한 컨테이너 4동과 천막 9동에 대해 자진철거 시정조치 명령을 내렸다.  시와 상생협약에 따른 이행사항 확인결과 130여명의 종업원 중 제천시민 85% 이상 채용과 지역대리점 등에서 공산품 납품을 확인했다고 덧붙였다.  지역농산물 입점에 대해서도 제천농협과 협의를 진행 중으로 매장에 농산물 부스를 설치하기로 했다.  이날 시는 마트 측과 오는 30일부터 영업종료 시간을 오후 10시로 조정하고 의무휴업일 적용에 관해서도 협의해 나갈 예정이다."
9,우리의 손으로 민주적인 학교 풍토를,"충북 보은내북초(교장 전순억)는 지난 24일 본교 참솔마루 강당에서 전교생을 대상으로 2021학년도 학생회 회장과 부회장 선출을 위한 후보자 토론회와 선거를 실시했다.  지난 3월 12일 선거관리위원회 구성을 시작으로 후보등록, 기호추첨, 비대면 선거운동의 과정이 민주주의 선거 원칙과 절차에 따라 진행되었고 전교학생회 후보자들은 모두가 즐겁고 행복한 학교를","충북 보은내북초(교장 전순억)는 지난 24일 본교 참솔마루 강당에서 전교생을 대상으로 2021학년도 학생회 회장과 부회장 선출을 위한 후보자 토론회와 선거를 실시했다.  지난 3월 12일 선거관리위원회 구성을 시작으로 후보등록, 기호추첨, 비대면 선거운동의 과정이 민주주의 선거 원칙과 절차에 따라 진행되었고 전교학생회 후보자들은 모두가 즐겁고 행복한 학교를 만들어 나갈 공약을 가지고 소견발표를 했다.  학생들은 학생자치회를 이끌어갈 대표를 신중하게 뽑기 위해 후보자의 자질을 검증하는 공개토론회에서 쉴새 없이 질문을 하는 한편, 투표권은 없지만 유치원 원아들도 후보들의 이야기를 진지하게 듣고 질문도 하며 토론회와 투표 과정을 호기심어린 눈으로 참관했다.  학생회장과 부회장에 당선된 이현호(6학년), 정재환(5학년) 학생은 ""내북초 모든 학생들이 초등학교에서의 멋지고 아름다운 추억을 만들 수 있도록 최선을 다하여 노력하겠다""는 당선 소감을 전했다."
10,"靑, ""北 미사일 발사 깊은 우려""…NSC 상임위 열어 北 미사일 발사 논의","청와대가 25일 북한의 탄도 미사일 추정 발사체 발사와 관련해 깊은 우려를 표명했다.  청와대는 이날 오전 9시부터 국가안전보장회의(NSC) 상임위원회 긴급회의를 소집, 대책을 논의 후 미국의 대북정책 검토가 진행중인 가운데 미사일을 발사한 점에 깊은 우려를 표명했다.  상임위원들은 원인철 합찹의장으로부터 관련 보고를 받고 한반도의 전반적인 안보상황을 점검","청와대가 25일 북한의 탄도 미사일 추정 발사체 발사와 관련해 깊은 우려를 표명했다.  청와대는 이날 오전 9시부터 국가안전보장회의(NSC) 상임위원회 긴급회의를 소집, 대책을 논의 후 미국의 대북정책 검토가 진행중인 가운데 미사일을 발사한 점에 깊은 우려를 표명했다.  상임위원들은 원인철 합찹의장으로부터 관련 보고를 받고 한반도의 전반적인 안보상황을 점검하고, 미국 등 유관국들과 발사 배경과 의도를 정밀 분설하면서 협의를 강화해 나가기로 했다.  이날 오전 7시 25분 합동참모본부는 '북한, 동해 상으로 미상발사체 발사했다'라는 문자 메시지를 출입기자들에게 발송했고, 이어 8시 15분 추가 메시지를 통해 ""북한은 오늘 아침 함경남도 일대에서 동해상으로 미상발사체 2발을 발사하였으며, 추가 정보에 대해서는 한미 정보당국이 정밀 분석 중에 있다""고 했다.  합참의 발표는 일본 방위청에 비해 16분 늦은 것이어서 비판이 제기됐다. 일본 방위성은 이날 오전 7시 6분쯤 북한이 탄도미사일 발사한 것을 발표하면서 ""일본의 배타적 경제수역 밖에 낙하해, 일본에 직접적인 영향은 없는 것으로 보인다""고 밝혔다.  "
