ID,제목,내용(200자),전체내용
11,"국회의원 재산변동…충북 박덕흠 559억, 변재일 41억, 이종배·임호선 26억 順","국회공직자윤리위원회가 25일 0시를 기해 국회 공보를 통해 공개한 국회의원 정기재산변동사항 신고내역에 따르면 신고총액이 500억원 이상인 2명(전봉민 의원, 박덕흠 의원)을 제외한 296인의 신고재산액 평균은 23억6136만원이다.  재산 증가자는 247명(82.9%), 감소자는 51명(17.1%)으로 나타났다.  박병석 국회의장은 총계 63억2600만원으","국회공직자윤리위원회가 25일 0시를 기해 국회 공보를 통해 공개한 국회의원 정기재산변동사항 신고내역에 따르면 신고총액이 500억원 이상인 2명(전봉민 의원, 박덕흠 의원)을 제외한 296인의 신고재산액 평균은 23억6136만원이다.  재산 증가자는 247명(82.9%), 감소자는 51명(17.1%)으로 나타났다.  박병석 국회의장은 총계 63억2600만원으로 지난해보다 14억1000여 만원이 증가했다.  서울 반포아파트(196.8㎡ㆍ39억6100만원)가 6억여 원이 오르는 등 건물은 42억2500만원, 충북 제천시 봉양읍 연박리ㆍ원박리에 있는 임야 19만여 ㎡와 대지 600여㎡ 등 토지는 1억3400여 만원이 오른 3억3000만원으로 기록했다.  예금은 12억원 증가한 16억여 원을 신고했다.  충북 지역구 의원의 경우 해마다 국회의원 재산순위 3위권 이내를 지켜온 보은옥천영동괴산 지역구 박덕흠 의원은 전년과 비슷한 559억8800만원을 기록했다.  박 의원은 서울 송파구 잠실동에 대지와 잡종지 강원도 홍천군 북방면에 전답 임야, 제주도 서귀포시에 과수원 등 막대한 토지를 보유하고 있다.  토지가격만 6억여 원 증가한 220억원을 기록했고, 서울 삼성동 아이파크 아파트를 비롯해 상가 창고 단독주택 등 건물 등은 17억원 증가한 94억3000만원으로 신고했다.  예금은 전년도보다 28억여 원 줄어든 158억5000만원을 보유하고 있어 총재산은 전년도 보다 350여 만원 줄어든 559억8800만원을 신고했다.  청주 흥덕의 도종환 의원은 충북 청원군 오창읍 가좌리 전 813㎡ 등 대지와 전답 2억600만원, 단독주택과 아파트 등 건물 9억2000만원, 예금 9억원 등 총재산을 전년대비 9000만원 증가한 20억6700만원으로 신고했다.  청주 청원의 변재일 의원은 청주시 상당구 사동리 임야를 비롯해 경기도 화성시 임야, 경기도 안성시 원곡면 산하리 임야, 용인시 처인구 원삼면 죽능리 임야 등 토지를 전년보다 1600여 만원 오른 8억5000여 만원으로 신고했고, 서울 여의도동 아파트(14억7900만원) 등 건물 16억6900만원, 예금 10억6400만원, 증권 약 2억원 등을 포함해 총재산이 전년보다 3억2000만원 증가한 40억8900만원으로 신고했다.  청주 서원의 이장섭 의원은 제천시 봉양읍 토지(1983㎡) 289만원, 청주시 흥덕구 아파트 등 건물 10억원과 예금 2억4100만원 등 전년도보다 3억8000여 만원 증가한 8억6800여 만원을 신고했다.  청주 상당의 정정순 의원은 서울 송파구 신천동 아파트 등 건물 12억5200만원, 예금 26억500만원 등 총재산이 전년보다 9300여 만원 줄어든 15억1600만원으로 신고했다.  정 의원은 장남과 차남 재산에 대해서는 고지를 거부한 것으로 나타났다.  충주의 이종배 의원은 경기도 이천시 율면 산양리 임야 2816㎡와 충주시 주덕읍 소재 답 2177㎡ 등 8500여 만원, 서울 개포동 주공아파트(13억6600만원) 등 아파트와 오피스텔 15억7600만원, 예금 8억 7600만원을 합해 4억2500만원 늘어난 총재산 26억5500만원을 신고했다.  제천의 엄태영 의원은 강서구 가양동ㆍ제천시 고암동 아파트 등 4억4200만원, 예금 2억3000만원 등 총재산 6억9200여 만원을 신고했다.  증평진천음성의 임호선 의원은 진친군 초평면 은암리 일대 임야 등 토지 10억7300만원, 예금 7억5000만원 등 총재산이 전년보다 9700여 만원 감소한 26억여 원으로 신고했다."
12,"KT&G, 오는 26일 '88 리턴즈' 전국 출시","KT&G가 90년대 인기를 끌었던 88 제품을 현대적으로 구현한 '88 리턴즈(88 Returns)'를 오는 29일 전국 편의점에 출시한다.  88 리턴즈는 '뉴트로(Newtro)' 콘셉트를 적용해 88 고유의 특성인 담배 본연의 맛을 담은 신제품이다.  패키지도 88의 감성을 현대적으로 재해석해 디자인했다. 88의 상징인 하늘색을 패키지 색상으로 정했고,","KT&G가 90년대 인기를 끌었던 88 제품을 현대적으로 구현한 '88 리턴즈(88 Returns)'를 오는 29일 전국 편의점에 출시한다.  88 리턴즈는 '뉴트로(Newtro)' 콘셉트를 적용해 88 고유의 특성인 담배 본연의 맛을 담은 신제품이다.  패키지도 88의 감성을 현대적으로 재해석해 디자인했다. 88의 상징인 하늘색을 패키지 색상으로 정했고, 당시 심볼이었던 국보 1호 숭례문을 삽입했다.  또 고급감과 편의성을 강화하기 위해 소프트 케이스 대신 하드 케이스를 적용했다.  88 제품은 1988년 서울올림픽을 기념해 1987년 처음 출시된 바 있다. 88 브랜드는 1988~1995년까지 8년 동안 국내 시장에서 가장 높은 판매량을 기록했다.  88은 당시 세계화 흐름에 발맞춰 KT&G의 담배 중 영문 표기로만 판매된 최초의 제품이다. 브랜드명 88은 1986년 대국민 공모를 통해 선정됐다.  공모에는 10만명이 참가해 화제를 모았고, 공정한 심사를 거쳐 88이라는 이름이 탄생하게 됐다.  정윤식 KT&G 브랜드실장은 ""88 브랜드를 현대적으로 재해석해 담배 본연의 맛과 향수를 불러일으키는 88 리턴즈를 선보이게 됐다""며 ""88의 추억을 기억하는 이들과, 현대적인 트렌드를 즐기는 소비자들을 모두 만족시키는 '뉴트로(Newtro)' 제품이 될 것""이라고 밝혔다."
13,박진기 의원'보은군 양봉산업 육성 및 지원에 관한 조례안' 발의,"충북 보은군의회 박진기 의원이 발의한 '보은군 양봉산업 육성 및 지원에 관한 조례안'이 25일 열린 354회 군의회 임시회에서 의결됐다.  이 조례안의 제안이유는 양봉농가의 소득등대를 도모하고 지역 경제발전에 기여하기 위함이다.  조례의 주요내용은 지원계획 수립 및 시행에 관한 사항, 지원사업에 관한 사항, 밀원식물의 조성에 관한 사항, 전문인력의 양성에 ","충북 보은군의회 박진기 의원이 발의한 '보은군 양봉산업 육성 및 지원에 관한 조례안'이 25일 열린 354회 군의회 임시회에서 의결됐다.  이 조례안의 제안이유는 양봉농가의 소득등대를 도모하고 지역 경제발전에 기여하기 위함이다.  조례의 주요내용은 지원계획 수립 및 시행에 관한 사항, 지원사업에 관한 사항, 밀원식물의 조성에 관한 사항, 전문인력의 양성에 관한 사항, 연구 및 기술개발에 관한 사항, 표창에 관한 사항 등을 규정했다.  조례안은 군수는 군유림을 조성하거나 군유림의 수종(樹種) 갱신할 경우 지역적 특성을 고려하여 밀원식물을 확충하도록 노력하여야 하며, 밀원식물의 선발ㆍ증식 및 보호ㆍ관리에 필요한 사업비를 예산의 범위에서 지원할 수 있다고 규정하고 있다.  박진기 의원은 ""이번 조례안 제정으로 밀원식물의 지속적인 확대 및 보전을 통해 양봉 농가를 체계적으로 지원할 수 있는 기반이 마련되기를 기대한다""고 말했다."
14,"충북도의회 ""농·어업인 재난지원금 추경안 통과 환영""","충북도의회는 25일 4차 긴급재난지원금 지급을 위한 정부 추가경정예산안에 농ㆍ어업인도 지급대상에 포함된 것에 대해 환영의 뜻을 밝혔다.  농ㆍ어업인 등에 지원하는 재난지원금은 정부방역 조치로 매출이 줄어든 농ㆍ어업인 3만2000가구와 0.5㏊ 미만의 농지를 소유한 영세농민 46만 가구, 화훼ㆍ친환경농산물 등 피해작물 재배농가로 이달 말부터 지급될 예정이다.","충북도의회는 25일 4차 긴급재난지원금 지급을 위한 정부 추가경정예산안에 농ㆍ어업인도 지급대상에 포함된 것에 대해 환영의 뜻을 밝혔다.  농ㆍ어업인 등에 지원하는 재난지원금은 정부방역 조치로 매출이 줄어든 농ㆍ어업인 3만2000가구와 0.5㏊ 미만의 농지를 소유한 영세농민 46만 가구, 화훼ㆍ친환경농산물 등 피해작물 재배농가로 이달 말부터 지급될 예정이다.  박문희 의장은 ""재난지원금 지급대상에 코로나19로 어려운 농ㆍ어민 등이 포함돼 다행""이라며 ""정부예산의 한계로 모든 농ㆍ어민들에게 지원을 못해 아쉽지만 조금이나마 도움과 위로가 되길 바란다""고 말했다.  충북도의회는 지난 15일 박 의장과 이의영ㆍ오영탁 부의장, 이상욱 의회운영위원장, 하청원 대변인, 연종석 산업경제위원장이 재난지원금 지급대상에 농ㆍ어업인 등을 포함시켜줄 것을 강력히 촉구하는 건의문을 대통령과 관계부처에 전달한 바 있다."
15,"계룡시, 민선5기 공약이행 주민배심원 2차 회의 개최",계룡시가 민선5기 공약이행 점검 주민배심원 2차 회의를 진행했다.  충남 계룡시가 지난 24일 시청 상황실에서 민선5기 공약사항을 점검하고 평가하기 위해 주민배심원 20여 명이 참석한 가운데 주민배심원 2차 회의를 개최했다.  이날 회의에서는 행정복지분과ㆍ안전건설분과 소관 공약에 대해 담당 부서장이 집접 나서 주민배심원들에게 설명하고 질의응답을 통해 공약이,"계룡시가 민선5기 공약이행 점검 주민배심원 2차 회의를 진행했다.  충남 계룡시가 지난 24일 시청 상황실에서 민선5기 공약사항을 점검하고 평가하기 위해 주민배심원 20여 명이 참석한 가운데 주민배심원 2차 회의를 개최했다.  이날 회의에서는 행정복지분과ㆍ안전건설분과 소관 공약에 대해 담당 부서장이 집접 나서 주민배심원들에게 설명하고 질의응답을 통해 공약이행 과정에서의 문제점과 개선방안 등을 심도 있게 논의했다.  모두 3차례 회의를 거쳐 공약 조정 적정여부 심의ㆍ공약이행 평가 등을 수행하는 주민배심원제는 주민이 시정에 직접 참여함으로써 공약 평가, 대안 제시 등을 통해 공약의 실효성과 이행률을 높인다.  김세겸 정책예산담당관은 ""오늘 회의를 통해 공약이행 과정에서 미처 생각하지 못한 부분에 대한 배심원단의 날카로운 지적이 있었다""며 ""수준 높은 공약이행과 주민 삶의 질 향상을 위해 배심원단이 제안한 의견과 건의 사항을 적극 수렴하겠다""고 말했다."
16,"한남대, 학제개편 경쟁력 강화 나서","한남대가 첨단학과의 신ㆍ증설과 특성화, 융ㆍ복합교육을 강화해 대학 경쟁력을 높인다.  한남대학교는 4차 산업혁명시대의 사회 변화에 대응하고 학생ㆍ산업계의 수요에 부응하기 위해 학제 개편에 나섰다고 25일 밝혔다.  한남대에 따르면, 2022학년도에 가칭 '스마트융합대학'과 '아트&디자인테크놀로지대학' 등 2개의 단과대학을 신설한다.  스마트융합대학은 사회적","한남대가 첨단학과의 신ㆍ증설과 특성화, 융ㆍ복합교육을 강화해 대학 경쟁력을 높인다.  한남대학교는 4차 산업혁명시대의 사회 변화에 대응하고 학생ㆍ산업계의 수요에 부응하기 위해 학제 개편에 나섰다고 25일 밝혔다.  한남대에 따르면, 2022학년도에 가칭 '스마트융합대학'과 '아트&디자인테크놀로지대학' 등 2개의 단과대학을 신설한다.  스마트융합대학은 사회적 수요가 급증하는 소프트웨어와 IT, 빅데이터 분야의 컴퓨터공학과, 산업경영공학과, AI융합학과, 수학과, 빅데이터응용학과 등 공학ㆍ이학ㆍ사회 계열의 학과들이 함께 소속돼 전공 간 시너지 효과를 극대화하게 된다.  '아트&디자인테크놀로지대학'은 융합디자인학과와 회화과, 의류학과, 미디어영상학과 등으로 구성된다.  명칭에서 드러나듯 이 단과대학은 기존 조형예술학부 학과들의 예술성에 공과대학 미디어영상학과가 합류해 테크놀로지가 더해진 것이다. 예술ㆍ디자인 감각과 더불어 디지털 영상 기술을 복합적으로 갖춘 창의적 인재를 양성할 것으로 기대된다.  한남대는 최근 교육부의 첨단학과 승인을 받은 '바이오제약공학과'를 생명ㆍ나노과학대학 내에 신설해 올해부터 40명의 신입생을 선발한다.  바이오분야 학과와 교수 연구 분야의 강점을 극대화하고 국내외 연구소, 기업 등과 협업을 통해 앞으로 예측되는 IT와 바이오 융합에 의한 5차 산업혁명에 선제적으로 대처하겠다는 전략이다.  기존 학과의 커리큘럼 조정과 유망 분야를 강화하는 전략도 함께 추진된다. 경상대학의 컨벤션호텔경영학과는 '호텔항공경영학과'로 명칭이 변경돼 항공 분야가 강화된다.  영어로 수업하는 국제학부인 린튼글로벌비즈니스스쿨을 '린튼글로벌스쿨'로 이름을 바꾸고 글로벌비즈니스전공과 글로벌미디어ㆍ컬쳐 전공으로 세분화해 학생들의 선택 폭을 확대한다."
17,"보은군, 올해 말까지 농지원부 일제정비 완료","충북 보은군은 지난해부터 추진해온 농지원부 일제정비를 올해 마무리 한다.  농지원부는 농지의 소유ㆍ이용실태 관리를 위한 공적 장부로, 군은 농지원부 관리 강화를 위해 작년부터 농지원부의 전수 확인 및 점검을 추진하고 있다.  군은 중점 정비 대상인 3만 7168필지(6037ha)에 대해 농지원부와 토지대장, 농업경영체 등록정보 등 타 공적자료와 비교ㆍ분석해","충북 보은군은 지난해부터 추진해온 농지원부 일제정비를 올해 마무리 한다.  농지원부는 농지의 소유ㆍ이용실태 관리를 위한 공적 장부로, 군은 농지원부 관리 강화를 위해 작년부터 농지원부의 전수 확인 및 점검을 추진하고 있다.  군은 중점 정비 대상인 3만 7168필지(6037ha)에 대해 농지원부와 토지대장, 농업경영체 등록정보 등 타 공적자료와 비교ㆍ분석해 정보가 일치하지 않는 경우 소명자료 요구 및 현장 점검을 실시하고 농지원부를 최종적으로 완료할 방침이다.  특히 올해는 농지의 소유ㆍ임대차 정보를 중점적으로 현행화 할 계획으로정비과정에서 불법 임대차의 정황이 확인되는 경우, 오는 9~11월 농지이용실태조사 시에 점검 대상에 포함해 조사할 예정이다."
18,"전력거래소, 오송에 전력관제센터 건립","충북도는 25일 도지사 집무실에서 청주시와 충북경제자유구역청, 한국전력거래소, 한국산업단지공단 등 4개 기관과 오송바이오폴리스지구 내 한국전력거래소의 후비 전력관제센터 건립을 위한 투자협약을 체결했다.  이날 협약식에는 이시종 지사와 전형식 충북경자청장, 조영탁 한전거래소 이사장, 김정환 한국산단공단 이사장 등이 참석했다.  이번 투자협약으로 한국전력거래소","충북도는 25일 도지사 집무실에서 청주시와 충북경제자유구역청, 한국전력거래소, 한국산업단지공단 등 4개 기관과 오송바이오폴리스지구 내 한국전력거래소의 후비 전력관제센터 건립을 위한 투자협약을 체결했다.  이날 협약식에는 이시종 지사와 전형식 충북경자청장, 조영탁 한전거래소 이사장, 김정환 한국산단공단 이사장 등이 참석했다.  이번 투자협약으로 한국전력거래소는 오송바이오폴리스지구 내 부지면적 1만6528㎡, 건축면적 7264㎡ 규모의 전력망 감시ㆍ제어시설, 사무시설 등을 갖춘 후비 전력관제센터를 건립할 예정이다. 향후 IT전산설비를 포함해 2024년까지 총사업비 700억원이 투입된다.  한국전력거래소는 2017년 집중호우로 인한 산사태 피해로 중부지사의 후비 전력관제센터 기능이 정지됐으며, 이후 재난안전성 진단 결과 산사태 재발 가능성이 높다는 의견을 받아 이전을 결정했다.  지난 2월 6곳의 후보지역을 대상으로 현장실사, 지자체 의견수렴 등을 거친 결과 충북 오송을 최종 입지로 선정했다."
19,"천안함생존자예비역전우회, 200만원 기부",천안함생존자예비역전우회는 25일 저소득 참정유공자를 위한 후원금 200만원을 천안시에 전달했다.  천안함생존자전우회는 최원일 전 천안함장(2008~2010년)을 비롯해 2010년 3월 천안함 피격 당시 생존자 58명으로 구성됐다.  전달식에는 최원일 전 천안함장과 전준영 예비역회장이 함께했다.  전 회장은 “3월 26일 천안함 피격 11주기를 맞아 작은 도,천안함생존자예비역전우회는 25일 저소득 참정유공자를 위한 후원금 200만원을 천안시에 전달했다.  천안함생존자전우회는 최원일 전 천안함장(2008~2010년)을 비롯해 2010년 3월 천안함 피격 당시 생존자 58명으로 구성됐다.  전달식에는 최원일 전 천안함장과 전준영 예비역회장이 함께했다.  전 회장은 “3월 26일 천안함 피격 11주기를 맞아 작은 도움이지만 저소득 참전유공자분들에게 작은 힘이나마 보태고 싶어 후원을 하게 됐다”고 말했다.  후원금은 충남사회복지공동모금회를 통해 지역 내 저소득 참전유공자를 돕는데 사용된다.
20,2022학년도 고등학교 입학전형 기본계획 확정 공고,"충남도교육청은 지난 24일 '2022학년도 고등학교 입학전형 기본계획'을 확정 공고했다.  주요 내용은 △아산 교육감전형 실시 △봉사활동 내신성적 반영시간 축소 △특목고(예술ㆍ체육고, 산업수요맞춤형고) 내신성적 산출 방법 명시 △영재학교 간 중복지원 금지 △중학교졸업학력 검정고시 합격자 추가 전형 실시 등이다.  학생 선발은 전기, 후기로 나누어 진행한다.","충남도교육청은 지난 24일 '2022학년도 고등학교 입학전형 기본계획'을 확정 공고했다.  주요 내용은 △아산 교육감전형 실시 △봉사활동 내신성적 반영시간 축소 △특목고(예술ㆍ체육고, 산업수요맞춤형고) 내신성적 산출 방법 명시 △영재학교 간 중복지원 금지 △중학교졸업학력 검정고시 합격자 추가 전형 실시 등이다.  학생 선발은 전기, 후기로 나누어 진행한다. 전기에는 외국어고를 제외한 특수목적고와 특성화고, 일반고(특성화학과)가, 후기에는 일반고, 외국어고, 자율형 사립고가 전형을 치른다.  전기 또는 후기학교 1개 학교만 지원할 수 있고, 전기학교에 불합격자는 후기학교에 지원할 수 있으며 후기학교 불합격자는 미달학교 추가모집에 지원할 수 있다.  그리고 올해부터는 영재학교 간 중복지원은 금지된다.  특수목적고(충남외고, 충남과학고), 자율형 사립고(북일고, 충남삼성고)는 자기주도학습전형에 의해, 다른 특수목적고(예술ㆍ체육고, 산업수요맞춤형고)는 내신성적과 면접 또는 실기평가 등에 의해, 특성화고와 일반고는 내신성적만으로 합격자를 선발한다.  교육감전형은 천안시와 아산시 소재 일반고등학교를 각각 단일학군으로 설정하여 실시한다.  교육감전형 지역에 소재하는 중학교 졸업예정자는 중학교가 소재하는 학군에 지원할 수 있고, 교육감전형 지역 외 소재 중학교 졸업예정자는 천안학군에만 지원 가능하다.  단, 음봉중학교 2023학년도 졸업예정자(2021학년도 중학교 1학년)까지는 천안학군과 아산학군 중 1개 학군을 선택하여 지원할 수 있다. 또한 2022학년도에는 2022년 제1회 중학교졸업학력검정고시 합격자를 대상으로 추가전형을 실시한다.  고입 내신성적 산출 시 봉사활동은 코로나19로 인해 기존 3년간 40시간에서 3년간 15시간으로 축소하여 반영되는데, 3년간 15시간은 대부분의 학교에서 교육과정 내 봉사활동만으로도 충분히 확보할 수 있는 시간으로 코로나19로 인한 학생의 봉사활동 부담을 없애줄 것으로 기대된다."
